,RESPNUM,CCGID,RUNID,INTDATE,DAY,GATE,BAREA,STRATA,PEAK,METHOD,SAQ,AIRLINE,DESTINATION,FLIGHT,AIRLINE_CODE,DEST_CODE,DESTGEO,DESTMARK,ARRTIME,DEPTIME,HOWLONG,Q2A,Q2B,Q2C,Q3A,Q3B,Q3C,Q3PARK,Q4A,Q4B,Q4C,Q4D,Q5A,Q5B,Q6,Q7A,Q7B,Q7C,Q7D,Q7E,Q7F,Q7G,Q7H,Q7I,Q7J,Q7K,Q7L,Q7M,Q7N,Q7O,Q8A,Q8B,Q8C,Q8D,Q8E,Q9A,Q9B,Q9C,Q9D,Q9E,Q9F,Q9COM1,Q9COM2,Q9COM3,Q10,Q10COM1,Q10COM2,Q10COM3,Q11,Q12,Q12COM1,Q12COM2,Q12COM3,Q13A,Q13B,Q14A,Q14B,Q15,Q15A,Q15B,Q15C,Q16,Q17,Q18CITY,Q18STATE,Q18ZIP,Q18COUNTRY,HOME,Q19,Q20,Q21,Q22,Q23A,Q23B,LANG,WEIGHT
0,1,522,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,09:30:00,210,2,,,7,,,,1,2,2,1,1,1,1,6,6,6,3,3,3,6,6,4,6,6,6,6,6,4,0,,,,,5,6,6,6,4,4,0,,,4,3,,,2,,,,,5,4,4,4,2,,,,6,3,MONTREAL,QC,,CANADA,13,5,2,3,1,2,2,1,0.2847177142857143
1,2,504,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12:55:00,235,4,,,6,,,,2,1,1,2,3,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,3,3,3,3,3,3,0,,,3,11,,,2,,,,,1,3,4,5,2,,,,7,1,BERKELEY,CA,94546.0,US,3,3,1,1,2,2,2,1,0.9440823788546255
2,3,523,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:30 AM,09:30:00,60,2,,,3,,,,0,0,1,1,1,1,4,5,5,4,4,4,4,6,6,5,6,6,6,6,6,4,14,,,,,5,6,6,5,5,5,0,,,4,6,,,4,,,,,11,0,5,6,2,,,,5,3,RENO,NV,89511.0,US,10,6,2,3,2,2,1,1,0.2847177142857143
3,4,505,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12:55:00,175,2,,,9,,,,1,1,1,1,0,0,0,5,5,5,5,5,5,3,3,3,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,5,5,5,5,2,,,,7,1,SAN FRANCISCO,CA,94128.0,US,1,5,2,2,2,1,1,1,0.9440823788546255
4,5,524,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,09:30:00,150,2,3.0,,5,,,,1,1,1,2,1,1,2,6,3,3,4,4,4,4,4,2,4,6,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,5,0,,,2,,,,,5,5,5,5,2,,,,9,3,MONTREAL,QC,,CANADA,13,4,2,4,1,2,2,1,0.2847177142857143
5,6,525,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,3,,,,1,1,1,1,1,1,2,3,3,3,4,4,4,3,6,3,4,4,6,6,6,4,0,,,,,5,6,6,5,5,5,0,,,4,1,2.0,3.0,0,,,,,11,4,4,5,2,,,,10,3,MONTREAL,QC,,CANADA,13,5,1,0,2,2,2,1,0.2847177142857143
6,7,506,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,2,,,12,,,,1,2,2,2,0,0,0,4,4,3,3,3,4,4,4,4,3,0,4,4,4,4,32,,,,,4,4,4,4,4,4,0,,,4,15,,,1,5,1,,,7,3,3,3,2,,,,8,1,SAN JOSE,CA,95104.0,US,4,4,1,4,2,2,2,1,0.9440823788546255
7,8,526,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,0,,,,1,2,1,2,1,2,1,6,4,6,4,4,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,5,0,,,1,4,0,,,5,4,4,4,2,,,,9,3,MONCTON,NB,,CANADA,13,6,2,2,3,3,4,1,0.2847177142857143
8,9,507,237,13,SAT,75,F,2,3,1,1,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,1,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,5,5,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,MEXICO CITY,,,MEXICO,13,2,1,1,2,2,2,2,0.9440823788546255
9,10,527,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,1,1,1,3,6,4,4,5,5,5,6,6,4,6,6,6,6,6,5,1,8.0,,,,5,6,6,4,3,5,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,10,3,,NB,,CANADA,13,4,2,0,1,2,2,1,0.2847177142857143
10,11,528,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:30 AM,09:30:00,180,2,,,7,,,,1,1,1,2,1,2,1,6,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,,,,,5,0,0,5,5,5,0,,,5,0,,,1,5,0,,,5,0,5,5,2,,,,9,3,MONCTON,NB,,CANADA,13,7,1,2,2,2,2,1,0.2847177142857143
11,12,508,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,7:00:00,12:55:00,355,3,,,3,,,,2,1,1,1,3,1,4,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,0,,,,,4,4,4,4,4,4,0,,,4,0,,,2,,,,,11,4,6,6,2,,,,8,3,HONG KONG,,,CHINA,16,4,1,4,1,1,4,2,0.9440823788546255
12,13,529,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,8:00:00,09:30:00,90,2,,,3,,,,0,1,1,1,3,1,2,4,3,3,4,4,4,3,3,5,6,6,6,6,6,6,102,151.0,,,,4,6,6,4,4,4,0,,,4,4,12.0,,4,,,,,11,4,4,6,2,,,,8,3,MONTREAL,QC,,CANADA,13,6,1,4,1,2,2,1,0.2847177142857143
13,14,509,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:30 AM,12:55:00,205,4,,,3,,,,1,1,1,0,2,1,1,5,3,4,5,5,5,5,5,5,6,6,6,6,6,4,8,,,,,5,6,6,5,5,5,0,,,5,1,,,3,,,,,11,5,5,5,2,,,,9,3,,,,MEXICO,13,6,4,1,4,4,3,2,0.9440823788546255
14,15,530,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:35 AM,09:30:00,175,2,,,3,,,,0,1,1,1,1,1,3,5,5,5,5,4,5,6,6,5,0,0,0,0,0,5,4,,,,,5,0,0,5,5,5,0,,,5,0,,,2,,,,,11,5,5,0,2,,,,10,2,WOODLAND,CA,95695.0,US,10,6,2,2,2,2,2,1,0.2847177142857143
15,16,510,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:45 AM,12:55:00,250,1,,,3,,,,2,2,2,1,6,1,3,0,5,4,4,5,5,5,5,5,0,0,0,0,0,5,0,,,,,5,0,0,5,0,5,0,,,5,0,,,1,5,0,,,11,5,4,5,2,,,,10,3,,,,MEXICO,13,6,1,3,1,4,4,2,0.9440823788546255
16,17,531,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:55 AM,09:30:00,95,1,,,5,,,,2,1,2,2,1,1,3,3,4,5,4,3,4,6,6,6,6,6,6,6,6,4,0,,,,,4,6,6,6,6,4,0,,,4,0,,,2,,,,,5,4,4,4,2,,,,8,3,MONTREAL,QC,,CANADA,13,4,1,2,2,2,2,1,0.2847177142857143
17,18,532,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,3,,,,2,2,2,1,1,2,1,5,3,3,4,3,5,3,3,5,6,6,6,6,6,6,12,,,,,5,3,3,3,3,4,0,,,5,3,,,2,,,,,11,6,5,6,2,,,,10,3,,NB,,CANADA,13,5,2,0,1,2,2,1,0.2847177142857143
18,19,511,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:15 AM,12:55:00,160,1,,,5,,,,1,1,1,2,1,2,1,6,5,4,5,5,5,6,6,6,6,6,6,6,6,4,1,,,,,5,6,6,5,4,5,0,,,5,4,,,2,,,,,5,5,5,5,2,,,,10,3,MEXICO CITY,,,MEXICO,13,3,1,2,1,2,2,2,0.9440823788546255
19,20,533,233,13,SAT,92,G,1,3,1,2,AIR CANADA,MONTREAL,760,3,40,4,2,6:00:00,09:30:00,210,2,,,9,,,,1,2,1,2,1,2,1,5,3,5,4,4,4,6,6,6,4,6,5,6,5,5,104,,,,,5,5,5,5,5,5,0,,,5,4,,,1,5,1,,,5,5,4,5,2,,,,10,3,MONT TREMBLANT,QC,,CANADA,13,5,2,0,2,2,2,1,0.2847177142857143
20,21,534,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,6:50 AM,09:30:00,160,1,,,6,,,,2,1,1,1,2,1,3,3,3,3,5,5,5,6,6,4,4,4,4,6,6,4,14,,,,,4,4,4,4,4,4,0,,,4,17,,,1,3,4,,,1,3,3,3,2,,,,7,3,MONTREAL,QC,,CANADA,13,5,2,3,1,1,1,1,0.2847177142857143
21,22,512,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:40 AM,12:55:00,135,2,3.0,,5,,,,1,1,2,1,3,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,0,,,,,4,4,4,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,8,1,SAN FRANCISCO,CA,94117.0,US,1,3,2,2,1,2,2,1,0.9440823788546255
22,23,535,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:30 AM,09:30:00,120,1,,,5,,,,2,2,2,2,2,1,2,3,3,5,5,5,5,6,6,4,4,3,4,6,6,4,105,,,,,4,5,5,5,5,5,1,,,4,4,,,1,5,1,,,5,5,5,5,2,,,,8,1,SAN FRANCISCO,CA,94110.0,US,1,5,1,4,1,1,1,1,0.2847177142857143
23,24,513,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:00:00,12:55:00,175,6,,,3,,,,1,0,0,0,2,1,1,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,,,,,3,4,4,3,2,3,0,,,4,6,,,1,5,13,,,11,3,3,3,2,,,,6,3,ANCHORAGE,AK,99515.0,US,10,5,4,4,1,1,1,1,0.9440823788546255
24,25,536,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,7:00:00,09:30:00,150,3,,,6,,,,1,2,2,2,2,1,4,3,3,3,3,3,3,2,3,6,6,6,6,6,6,3,14,208.0,,,,3,3,6,3,3,3,0,,,3,4,,,2,,,,,5,4,5,5,2,,,,8,3,MONTREAL,QC,,CANADA,13,5,1,2,2,2,2,1,0.2847177142857143
25,26,537,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,09:30:00,N,3,,,5,,,,0,0,0,0,2,1,3,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,32,,,,,4,4,6,4,4,4,0,,,4,4,,,2,,,,,5,5,5,5,2,,,,9,3,CALGARY,AB,,CANADA,13,4,2,1,2,2,2,1,0.2847177142857143
26,27,538,233,13,SAT,92,G,1,3,1,1,AIR CANADA,MONTREAL,760,3,40,4,2,N,09:30:00,N,3,,,6,,,,1,1,2,2,3,1,4,4,4,4,4,4,4,4,4,4,6,6,4,6,6,6,62,,,,,4,4,0,4,4,4,0,,,3,1,,,2,,,,,5,4,3,5,2,,,,8,3,TORONTO,ON,,CANADA,13,5,2,1,2,2,2,1,0.2847177142857143
27,28,514,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:15 AM,12:55:00,100,0,,,4,,,,1,2,2,1,1,1,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,54,,,,,5,5,4,4,4,4,0,,,4,0,,,1,3,4,,,0,5,5,5,2,,,,9,3,MEXICO CITY,,,MEXICO,13,4,2,2,3,2,4,1,0.9440823788546255
28,29,625,238,13,SAT,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,1,,,6,,,,2,1,2,2,4,1,4,4,3,3,4,4,3,6,2,5,5,5,3,3,3,4,1,,,,,4,4,4,4,4,4,1,,,5,4,,,1,5,1,,,0,5,5,5,2,,,,6,1,MOUNTAIN VIEW,CA,94040.0,US,4,5,1,4,1,1,2,1,0.9440823788546255
29,30,515,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:50 AM,12:55:00,245,1,,,3,,,,2,2,1,1,2,1,1,4,4,3,4,4,0,5,3,5,6,6,6,6,6,4,0,,,,,5,6,6,4,5,4,0,,,5,0,,,2,,,,,11,5,5,3,2,,,,9,3,SHENZHEN,,,CHINA,16,4,1,1,2,2,2,1,0.9440823788546255
30,31,516,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12:55:00,295,2,,,3,,,,1,1,0,1,2,1,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,3,,,,,5,5,0,0,4,4,0,,,5,4,,,4,,,,,11,0,5,4,2,,,,10,3,,,,MEXICO,13,3,2,1,2,2,2,1,0.9440823788546255
31,32,626,238,13,SAT,98,G,2,3,1,1,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,14:00:00,150,3,,,6,,,,0,0,0,0,0,0,0,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,22,61.0,,,,5,5,5,5,5,5,1,,,3,15,,,2,,,,,0,2,2,1,1,1.0,,,3,3,FRANKFURT,,,GERMANY,15,3,1,1,2,2,2,1,0.9440823788546255
32,33,627,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,14:00:00,180,2,,,0,,,,1,2,1,1,2,1,1,5,2,4,5,5,5,4,5,5,6,6,6,6,6,4,102,105.0,,,,4,6,6,4,4,4,0,,,5,0,,,1,5,0,,,5,5,5,5,2,,,,9,1,SAN FRANCISCO,CA,94110.0,US,1,3,1,1,3,2,2,1,0.9440823788546255
33,34,517,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:50 AM,12:55:00,125,2,,,2,,,,2,2,1,1,3,1,3,5,4,4,4,5,5,5,5,5,5,6,4,6,5,5,101,,,,,5,5,5,5,5,5,0,,,5,0,,,2,,,,,6,0,5,5,2,,,,9,1,SOUTH SAN FRANCISCO,CA,94080.0,US,2,3,2,3,2,2,4,1,0.9440823788546255
34,35,628,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,3,,,5,,,,1,1,2,1,3,1,2,2,1,2,4,4,3,3,3,4,3,3,4,3,4,2,105,14.0,,,,3,4,3,2,3,3,0,,,2,0,,,0,,,,,5,3,4,0,2,,,,5,1,SAN FRANCISCO,CA,94114.0,US,1,3,2,4,1,1,1,1,0.9440823788546255
35,36,518,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,8:00:00,12:55:00,295,0,,,3,,,,1,2,1,1,2,1,1,6,3,3,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,4,4,4,0,,,3,0,,,0,,,,,11,6,6,3,2,,,,8,3,,,,MEXICO,13,4,2,0,2,2,2,1,0.9440823788546255
36,37,629,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:00:00,14:00:00,180,2,,,5,,,,0,2,2,1,1,1,0,6,2,3,4,4,6,6,6,5,6,6,6,6,6,3,0,,,,,4,6,6,3,3,4,0,,,4,0,,,1,0,0,,,5,4,5,5,2,,,,7,3,SANNARA,,,ITALY,15,2,1,0,2,2,2,1,0.9440823788546255
37,38,630,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,11:30 AM,14:00:00,150,2,,,5,,,,1,2,1,1,2,2,1,3,3,3,4,4,4,4,4,3,5,4,6,6,6,4,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,6,0,,,5,4,4,4,2,,,,8,3,CAPPADA,,,ITALY,15,2,1,0,2,2,2,1,0.9440823788546255
38,39,519,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,9:00:00,12:55:00,235,1,,,0,,,,1,2,1,1,2,1,1,6,3,6,3,3,2,3,0,5,6,6,6,6,6,3,204,,,,,4,6,6,4,4,4,0,,,5,0,,,0,,,,,0,6,5,4,2,,,,8,3,,,,MEXICO,13,4,2,0,2,2,2,1,0.9440823788546255
39,40,631,238,13,SAT,98,G,2,3,1,2,UNITED INTL,FRANKFURT,58,29,21,6,4,12:00:00,14:00:00,120,2,,,0,,,,1,0,0,1,2,1,1,6,6,6,4,4,4,4,4,4,6,6,6,6,6,4,0,,,,,4,6,6,6,4,4,0,,,4,0,,,1,5,0,,,7,5,5,5,2,,,,7,1,SAN JOSE,CA,95108.0,US,4,3,2,0,2,2,2,1,0.9440823788546255
40,41,520,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,11:30 AM,12:55:00,85,1,,,1,,,2,2,2,2,2,3,1,2,3,3,3,3,4,4,4,4,5,3,3,6,6,6,4,18,63.0,60.0,,,5,6,6,0,4,4,0,,,5,15,,,2,,,,,5,4,4,4,2,,,,9,1,SAN FRANCISCO,CA,94118.0,US,1,3,2,3,3,1,4,1,0.9440823788546255
41,42,643,277,15,MON,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,2,,,,1,2,1,2,2,1,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,4,1,,,,,5,6,6,5,5,4,0,,,4,0,,,1,5,1,,,5,4,4,5,2,,,,10,3,LAKE HAVASU,AZ,86406.0,US,10,6,2,3,2,2,2,1,1.1156485207100593
42,43,521,237,13,SAT,75,F,2,3,1,2,UNITED INTL,MEXICO CITY,821,29,37,4,4,10:30 AM,12:55:00,145,2,,,5,,,,1,1,1,2,4,1,2,6,1,3,4,4,4,6,6,2,5,5,6,6,3,4,109,,,,,5,6,5,5,2,4,0,,,5,0,,,2,,,,,7,5,5,5,1,13.0,,,5,1,SAN JOSE,CA,95123.0,US,4,3,1,4,1,1,2,1,0.9440823788546255
43,44,642,277,15,MON,24,B,1,1,1,1,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,5,,,,1,2,2,2,3,1,4,2,3,3,4,6,4,6,6,6,1,3,4,6,4,4,71,65.0,,,,5,4,4,5,4,4,0,,,5,2,,,2,,,,,5,5,5,4,2,,,,8,3,COLUMBUS,OH,43015.0,US,11,5,1,4,1,1,2,1,1.1156485207100593
44,45,651,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:30 AM,11:40:00,130,1,,,2,,,,2,2,0,1,3,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,101,,,,,5,5,5,5,5,5,0,,,4,21,,,1,5,1,,,6,5,5,5,2,,,,10,1,SAN BRUNO,CA,94066.0,US,2,6,1,4,2,2,2,1,1.477877966101695
45,46,644,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:30 AM,08:15:00,105,3,,,2,,,,2,1,2,2,3,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,,,,,5,5,5,5,5,5,1,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,1,SAN FRANCISCO,CA,,US,1,5,2,3,2,2,2,1,1.1156485207100593
46,47,652,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,8,,,,1,2,2,2,2,1,4,4,6,6,4,4,4,6,6,6,6,6,4,6,6,4,206,,,,,4,6,6,6,3,4,0,,,3,20,,,2,,,,,6,5,5,3,1,33.0,,,8,2,POINT ARENA,CA,95468.0,US,10,7,2,0,2,2,2,1,1.477877966101695
47,48,645,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:45 AM,08:15:00,90,3,,,2,,,,1,2,2,1,3,1,4,6,3,3,3,6,3,3,3,3,3,6,6,6,6,3,0,,,,,3,6,6,4,4,3,4,,,5,0,,,1,5,1,,,6,3,3,4,2,,,,6,3,LOUISVILLE,KY,40025.0,US,11,6,2,0,2,2,2,1,1.1156485207100593
48,49,646,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,2,,,3,,,,0,1,1,0,1,2,1,3,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,,,,,3,0,0,3,0,0,0,,,4,0,,,0,,,,,11,4,4,4,2,,,,7,3,,,,AUSTRALIA,19,6,1,3,2,2,2,1,1.1156485207100593
49,50,653,258,14,SUN,59,D,2,1,1,1,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:45 AM,11:40:00,115,2,,,5,,,,2,2,2,1,3,1,2,4,3,3,4,4,4,6,6,5,4,4,4,4,4,4,102,1.0,,,,5,5,5,4,4,5,0,,,4,0,,,2,,,,,5,4,5,5,2,,,,8,1,BERKELEY,CA,94704.0,US,3,2,2,2,1,2,1,1,1.477877966101695
50,51,654,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,8:50 AM,11:40:00,170,2,,,1,,,3,1,1,1,1,2,1,4,4,3,3,4,4,4,4,3,4,4,5,4,4,4,4,0,,,,,4,4,6,3,4,4,0,,,5,2,,,1,5,2,,,5,4,4,4,2,,,,9,1,SAN FRANCISCO,CA,,US,1,4,2,1,2,2,2,1,1.477877966101695
51,52,647,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:40 AM,08:15:00,95,3,,,5,,,,2,2,1,1,1,2,1,4,5,6,4,6,6,6,6,4,6,6,6,6,6,5,1,,,,,5,6,6,5,5,5,6,,,5,3,,,2,,,,,5,5,5,5,2,,,,10,3,OMAHA,NE,68154.0,US,11,3,2,2,2,2,2,1,1.1156485207100593
52,53,648,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,1,,,7,,,,1,1,1,1,3,1,2,3,3,3,4,3,4,4,4,4,5,6,4,4,6,3,0,,,,,4,4,6,3,4,4,0,,,4,0,,,1,5,0,,,6,4,4,4,2,,,,8,1,REDWOOD CITY,CA,94062.0,US,2,6,2,2,2,1,2,1,1.1156485207100593
53,54,655,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,N,11:40:00,N,3,,,2,,,,1,0,0,0,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,0,,,,,2,4,4,4,3,,,,6,1,ANTIOCH,CA,94509.0,US,5,4,1,2,2,4,1,1,1.477877966101695
54,55,649,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:15 AM,08:15:00,120,2,,,8,,,,1,1,2,2,1,2,1,3,3,3,4,4,3,4,6,6,6,6,6,6,6,3,31,43.0,,,,4,6,6,4,4,3,13,,,4,0,,,2,,,,,5,4,4,4,2,,,,0,3,,,,,99,3,2,0,2,2,2,1,1.1156485207100593
55,56,656,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:50 AM,11:40:00,110,2,,,2,,,,1,2,1,2,2,1,4,3,4,4,4,4,4,2,2,6,2,2,2,6,6,3,0,,,,,4,6,6,4,4,4,0,,,4,0,,,1,3,0,,,6,4,4,3,2,,,,7,1,,,,,90,3,2,0,2,2,2,1,1.477877966101695
56,57,650,277,15,MON,24,B,1,1,1,2,SOUTHWEST,LAS VEGAS,384,25,30,1,4,6:20 AM,08:15:00,115,2,,,2,,,,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,0,,,,,3,3,3,3,3,3,0,,,4,0,,,2,,,,,6,5,5,5,2,,,,9,1,MILLBRAE,CA,94030.0,US,2,6,2,2,2,2,2,1,1.1156485207100593
57,58,657,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,6,,,,1,2,2,1,1,2,1,4,4,4,5,5,5,5,5,4,4,6,5,6,6,0,0,,,,,5,5,6,6,5,4,0,,,4,4,,,1,4,0,,,5,4,4,4,2,,,,10,3,ST. JEAN DE LUE,,,FRANCE,15,4,2,1,2,2,2,1,1.477877966101695
58,59,658,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:15 AM,11:40:00,85,1,2.0,,2,,,,0,1,1,1,2,1,4,3,3,4,4,5,5,5,5,5,4,4,4,4,3,5,0,,,,,5,4,5,5,5,5,0,,,4,6,,,2,,,,,1,4,5,5,2,,,,10,1,ALAMEDA,CA,94502.0,US,3,3,2,2,2,2,1,1,1.477877966101695
59,60,659,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:00:00,11:40:00,100,2,,,5,,,,1,0,1,0,1,2,1,3,4,3,4,4,4,4,4,4,4,4,4,6,4,4,0,,,,,5,4,5,5,5,5,0,,,5,2,,,2,,,,,5,5,5,5,2,,,,10,3,LONDON,,,UK,15,3,2,2,1,2,2,1,1.477877966101695
60,61,660,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,9:00:00,11:40:00,160,2,,,4,,,,1,2,1,1,1,2,1,6,3,6,4,4,4,4,4,5,6,6,6,6,6,4,0,,,,,5,6,6,5,4,4,0,,,4,0,,,1,3,0,,,5,3,4,4,2,,,,8,3,,,,AUSTRALIA,19,2,2,0,2,2,2,1,1.477877966101695
61,62,661,258,14,SUN,59,D,2,1,1,2,VIRGIN AMERICA,CHICAGO-O'HARE,204,30,13,3,4,10:15 AM,11:40:00,85,2,3.0,,2,,,,1,1,1,2,2,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,,,,,5,5,5,5,5,5,0,,,5,1,,,0,,,,,1,5,5,5,2,,,,10,1,OAKLAND,CA,94621.0,US,3,2,1,1,3,2,2,1,1.477877966101695
